Region,Total Number of Covid-19 Vaccine Doses Administered,Date,Total Population
Canada,32170819,2021-06-20,38131104
British Columbia,4296151,2021-06-20,5174724
Alberta,3775674,2021-06-20,4444277
Saskatchewan,997818,2021-06-20,1179906
Manitoba,1138154,2021-06-20,1382904
Ontario,12551150,2021-06-20,14789778
Quebec,7325411,2021-06-20,8585523
Newfoundland and Labrador,404055,2021-06-20,520286
New Brunswick,658786,2021-06-20,783721
Nova Scotia,752599,2021-06-20,982326
Prince Edward Island,123208,2021-06-20,160536
Yukon,56640,2021-06-20,42596
Northwest Territories,57215,2021-06-20,44991
Nunavut,33958,2021-06-20,39536
