Date,Number of Confirmed Cases
2020-01-31,1
2020-02-08,3
2020-02-16,1
2020-02-21,1
2020-02-24,0
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-29,0
2020-03-01,1
2020-03-03,4
2020-03-05,9
2020-03-06,0
2020-03-07,6
2020-03-08,0
2020-03-09,5
2020-03-11,7
2020-03-12,7
2020-03-13,7
2020-03-14,11
2020-03-15,9
2020-03-16,0
2020-03-17,30
2020-03-18,83
2020-03-19,85
2020-03-20,0
2020-03-21,153
2020-03-22,0
2020-03-23,48
2020-03-24,145
2020-03-25,42
2020-03-26,66
2020-03-27,0
2020-03-28,159
2020-03-29,0
2020-03-30,76
2020-03-31,10
2020-04-01,96
2020-04-02,55
2020-04-03,53
2020-04-04,29
2020-04-05,0
2020-04-06,63
2020-04-07,25
2020-04-08,45
2020-04-09,34
2020-04-10,40
2020-04-11,35
2020-04-12,0
2020-04-13,45
2020-04-14,27
2020-04-15,44
2020-04-16,0
2020-04-17,14
2020-04-18,43
2020-04-19,0
2020-04-20,81
2020-04-21,25
2020-04-22,71
2020-04-23,29
2020-04-24,29
2020-04-25,95
2020-04-26,0
2020-04-27,50
2020-04-28,55
2020-04-29,34
2020-04-30,25
2020-05-01,33
2020-05-02,26
2020-05-03,0
2020-05-04,53
2020-05-05,8
2020-05-06,23
2020-05-07,33
2020-05-08,27
2020-05-09,15
2020-05-10,0
2020-05-11,23
2020-05-12,7
2020-05-13,16
2020-05-14,16
2020-05-15,15
2020-05-16,21
2020-05-17,0
2020-05-18,16
2020-05-19,2
2020-05-20,21
2020-05-21,12
2020-05-22,28
2020-05-23,10
2020-05-24,0
2020-05-25,13
2020-05-26,11
2020-05-27,9
2020-05-28,8
2020-05-29,4
2020-05-30,11
2020-05-31,0
2020-06-01,24
2020-06-02,4
2020-06-03,22
2020-06-04,9
2020-06-05,0
2020-06-06,0
2020-06-07,0
2020-06-08,27
2020-06-09,10
2020-06-10,11
2020-06-11,14
2020-06-12,15
2020-06-13,0
2020-06-14,0
2020-06-15,36
2020-06-16,11
2020-06-17,19
2020-06-18,8
2020-06-19,7
2020-06-20,0
2020-06-21,0
2020-06-22,32
2020-06-23,13
2020-06-24,14
2020-06-25,20
2020-06-26,9
2020-06-27,0
2020-06-28,0
2020-06-29,26
2020-06-30,12
2020-07-01,0
2020-07-02,24
2020-07-03,7
2020-07-04,0
2020-07-05,0
2020-07-06,31
2020-07-07,12
2020-07-08,18
