Date,Number of Confirmed Cases
2020-01-31,4
2020-02-08,3
2020-02-16,1
2020-02-21,1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,1
2020-02-29,2
2020-03-01,9
2020-03-03,9
2020-03-05,12
2020-03-06,6
2020-03-07,6
2020-03-08,5
2020-03-09,15
2020-03-11,26
2020-03-12,38
2020-03-13,38
2020-03-14,20
2020-03-15,54
2020-03-16,88
2020-03-17,99
2020-03-18,157
2020-03-19,276
2020-03-20,131
2020-03-21,367
2020-03-22,100
2020-03-23,620
2020-03-24,701
2020-03-25,617
2020-03-26,634
2020-03-27,646
2020-03-28,736
2020-03-29,833
2020-03-30,1179
2020-03-31,1111
2020-04-01,1065
2020-04-02,1670
2020-04-03,1254
2020-04-04,1367
2020-04-05,1608
2020-04-06,1155
2020-04-07,1230
2020-04-08,1392
2020-04-09,1476
2020-04-10,1383
2020-04-11,1169
2020-04-12,1066
2020-04-13,1297
2020-04-14,1383
2020-04-15,1318
2020-04-16,1711
2020-04-17,1792
2020-04-18,1469
2020-04-19,1432
2020-04-20,2045
2020-04-21,1591
2020-04-22,1769
2020-04-23,1920
2020-04-24,1778
2020-04-25,1466
2020-04-26,1541
2020-04-27,1605
2020-04-28,1526
2020-04-29,1571
2020-04-30,1639
2020-05-01,1825
2020-05-02,1653
2020-05-03,2760
2020-05-04,1298
2020-05-05,1274
2020-05-06,1449
2020-05-07,1426
2020-05-08,1512
2020-05-09,1268
2020-05-10,1146
2020-05-11,1133
2020-05-12,1175
2020-05-13,1121
2020-05-14,1211
2020-05-15,1126
2020-05-16,1251
2020-05-17,1138
2020-05-18,1070
2020-05-19,1040
2020-05-20,1011
2020-05-21,1201
2020-05-22,1156
2020-05-23,1141
2020-05-24,1078
2020-05-25,1012
2020-05-26,936
2020-05-27,872
2020-05-28,993
2020-05-29,906
2020-05-30,772
2020-05-31,757
2020-06-01,758
2020-06-02,705
2020-06-03,675
2020-06-04,641
2020-06-05,609
2020-06-06,722
2020-06-07,642
2020-06-08,545
2020-06-09,409
2020-06-10,472
2020-06-11,405
2020-06-12,413
2020-06-13,467
2020-06-14,377
2020-06-15,360
2020-06-16,320
2020-06-17,386
2020-06-18,367
2020-06-19,409
2020-06-20,390
2020-06-21,318
2020-06-22,300
2020-06-23,326
2020-06-24,279
2020-06-25,380
2020-06-26,172
2020-06-27,238
2020-06-28,218
2020-06-29,668
2020-06-30,286
2020-07-01,0
2020-07-02,567
2020-07-03,319
2020-07-04,226
2020-07-05,219
2020-07-06,399
2020-07-07,232
2020-07-08,267
2020-07-09,371
2020-07-10,321
2020-07-11,221
2020-07-12,244
2020-07-13,565
2020-07-14,331
2020-07-15,341
2020-07-16,437
2020-07-17,405
2020-07-18,330
2020-07-19,339
2020-07-20,786
2020-07-21,573
2020-07-22,543
2020-07-23,432
2020-07-24,534
2020-07-25,350
2020-07-26,355
2020-07-27,686
2020-07-28,397
2020-07-29,412
2020-07-30,393
2020-07-31,513
2020-08-01,287
2020-08-02,285
2020-08-03,147
2020-08-04,761
2020-08-05,395
2020-08-06,374
2020-08-07,424
2020-08-08,236
2020-08-09,230
2020-08-10,681
2020-08-11,289
2020-08-12,423
2020-08-13,390
2020-08-14,418
2020-08-15,237
2020-08-16,198
2020-08-17,785
2020-08-18,282
2020-08-19,336
