Date,Employment rate (%)
2005-01,63.6
2005-02,63.6
2005-03,63.7
2005-04,63.7
2005-05,63.6
2005-06,63.6
2005-07,63.6
2005-08,63.6
2005-09,63.5
2005-10,63.6
2005-11,63.5
2005-12,63.4
2006-01,63.3
2006-02,63.3
2006-03,63.3
2006-04,63.5
2006-05,63.6
2006-06,63.5
2006-07,63.5
2006-08,63.4
2006-09,63.4
2006-10,63.2
2006-11,63.3
2006-12,63.5
2007-01,63.6
2007-02,63.6
2007-03,63.7
2007-04,63.6
2007-05,63.6
2007-06,63.6
2007-07,63.7
2007-08,63.8
2007-09,63.9
2007-10,64.0
2007-11,64.0
2007-12,63.9
2008-01,64.0
2008-02,64.1
2008-03,64.0
2008-04,63.9
2008-05,64.0
2008-06,63.8
2008-07,63.7
2008-08,63.6
2008-09,63.6
2008-10,63.8
2008-11,63.4
2008-12,63.4
2009-01,62.9
2009-02,62.7
2009-03,62.6
2009-04,62.4
2009-05,62.2
2009-06,62.1
2009-07,62.2
2009-08,62.2
2009-09,62.1
2009-10,62.1
2009-11,62.3
2009-12,62.2
2010-01,62.2
2010-02,62.2
2010-03,62.2
2010-04,62.4
2010-05,62.4
2010-06,62.5
2010-07,62.5
2010-08,62.5
2010-09,62.5
2010-10,62.4
2010-11,62.5
2010-12,62.5
2011-01,62.7
2011-02,62.5
2011-03,62.6
2011-04,62.7
2011-05,62.6
2011-06,62.6
2011-07,62.6
2011-08,62.6
2011-09,62.6
2011-10,62.5
2011-11,62.4
2011-12,62.5
2012-01,62.4
2012-02,62.4
2012-03,62.6
2012-04,62.8
2012-05,62.8
2012-06,62.8
2012-07,62.7
2012-08,62.8
2012-09,62.9
2012-10,62.8
2012-11,62.7
2012-12,62.8
2013-01,62.7
2013-02,62.8
2013-03,62.6
2013-04,62.7
2013-05,62.8
2013-06,62.7
2013-07,62.6
2013-08,62.7
2013-09,62.5
2013-10,62.5
2013-11,62.6
2013-12,62.5
2014-01,62.5
2014-02,62.5
2014-03,62.4
2014-04,62.3
2014-05,62.1
2014-06,62.1
2014-07,62.1
2014-08,62.0
2014-09,62.0
2014-10,62.1
2014-11,62.1
2014-12,61.9
2015-01,62.0
2015-02,62.0
2015-03,62.0
2015-04,62.0
2015-05,62.0
2015-06,62.0
2015-07,62.1
2015-08,62.1
2015-09,62.0
2015-10,62.1
2015-11,62.0
2015-12,61.9
2016-01,61.8
2016-02,61.8
2016-03,61.9
2016-04,61.8
2016-05,61.9
2016-06,61.8
2016-07,61.7
2016-08,61.7
2016-09,61.8
2016-10,61.9
2016-11,61.8
2016-12,61.9
2017-01,62.1
2017-02,62.1
2017-03,62.1
2017-04,62.1
2017-05,62.1
2017-06,62.2
2017-07,62.1
2017-08,62.3
2017-09,62.2
2017-10,62.1
2017-11,62.2
2017-12,62.4
2018-01,62.1
2018-02,62.2
2018-03,62.3
2018-04,62.2
2018-05,62.0
2018-06,62.1
2018-07,62.2
2018-08,61.9
2018-09,62.1
2018-10,62.2
2018-11,62.5
2018-12,62.4
2019-01,62.5
2019-02,62.5
2019-03,62.5
2019-04,62.6
2019-05,62.7
2019-06,62.6
2019-07,62.5
2019-08,62.6
2019-09,62.7
2019-10,62.6
2019-11,62.3
2019-12,62.4
2020-01,62.5
2020-02,62.5
2020-03,60.2
2020-04,54.4
2020-05,55.4
2020-06,57.9
2020-07,58.8
2020-08,59.4
2020-09,60.2
2020-10,60.5
2020-11,60.6
2020-12,60.5
2021-01,60.1
2021-02,60.6
