Date,Number of Confirmed Cases
2020-03-11,0
2020-03-12,0
2020-03-13,0
2020-03-14,0
2020-03-15,0
2020-03-16,3
2020-03-17,2
2020-03-18,2
2020-03-19,7
2020-03-20,1
2020-03-21,6
2020-03-22,7
2020-03-23,13
2020-03-24,10
2020-03-25,17
2020-03-26,5
2020-03-27,17
2020-03-28,20
2020-03-29,12
2020-03-30,5
2020-03-31,20
2020-04-01,26
2020-04-02,20
2020-04-03,14
2020-04-04,29
2020-04-05,26
2020-04-06,31
2020-04-07,17
2020-04-08,32
2020-04-09,31
2020-04-10,34
2020-04-11,21
2020-04-12,17
2020-04-13,29
2020-04-14,43
2020-04-15,32
2020-04-16,30
2020-04-17,27
2020-04-18,43
2020-04-19,26
2020-04-20,46
2020-04-21,16
2020-04-22,35
2020-04-23,55
2020-04-24,23
2020-04-25,15
2020-04-26,8
2020-04-27,27
2020-04-28,15
2020-04-29,20
2020-04-30,12
2020-05-01,12
2020-05-02,4
2020-05-03,8
2020-05-04,14
2020-05-05,6
2020-05-06,7
2020-05-07,9
2020-05-08,1
2020-05-09,3
2020-05-10,7
2020-05-11,1
2020-05-12,1
2020-05-13,4
2020-05-14,2
2020-05-15,8
2020-05-16,3
2020-05-17,3
2020-05-18,3
2020-05-19,1
2020-05-20,1
2020-05-21,1
2020-05-22,2
2020-05-23,1
2020-05-24,1
2020-05-25,1
2020-05-26,1
2020-05-27,1
2020-05-28,2
2020-05-29,0
2020-05-30,1
2020-05-31,0
2020-06-01,1
2020-06-02,0
2020-06-03,1
2020-06-04,0
2020-06-05,0
2020-06-06,0
2020-06-07,1
2020-06-08,0
2020-06-09,1
2020-06-10,1
2020-06-11,0
2020-06-12,0
2020-06-13,0
2020-06-14,0
2020-06-15,0
2020-06-16,0
2020-06-17,0
2020-06-18,0
2020-06-19,0
2020-06-20,0
2020-06-21,0
2020-06-22,0
2020-06-23,0
2020-06-24,0
2020-06-25,0
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,0
2020-06-30,1
2020-07-01,0
2020-07-02,2
2020-07-03,0
2020-07-04,0
2020-07-05,0
2020-07-06,1
2020-07-07,0
2020-07-08,1
2020-07-09,0
2020-07-10,0
2020-07-11,0
2020-07-12,0
2020-07-13,0
2020-07-14,0
2020-07-15,1
2020-07-16,0
2020-07-17,0
2020-07-18,0
2020-07-19,0
2020-07-20,0
2020-07-21,0
2020-07-22,0
2020-07-23,0
2020-07-24,0
2020-07-25,0
2020-07-26,0
2020-07-27,0
2020-07-28,0
2020-07-29,0
2020-07-30,0
2020-07-31,2
2020-08-01,0
2020-08-02,2
2020-08-03,0
