Date,Number of Confirmed Cases
2020-01-31,3
2020-02-08,0
2020-02-16,0
2020-02-21,0
2020-02-24,1
2020-02-25,0
2020-02-26,1
2020-02-27,1
2020-02-29,2
2020-03-01,7
2020-03-03,5
2020-03-05,2
2020-03-06,6
2020-03-07,0
2020-03-08,3
2020-03-09,3
2020-03-11,8
2020-03-12,17
2020-03-13,20
2020-03-14,0
2020-03-15,24
2020-03-16,42
2020-03-17,32
2020-03-18,12
2020-03-19,69
2020-03-20,53
2020-03-21,66
2020-03-22,48
2020-03-23,78
2020-03-24,85
2020-03-25,100
2020-03-26,170
2020-03-27,135
2020-03-28,0
2020-03-29,362
2020-03-30,351
2020-03-31,260
2020-04-01,426
2020-04-02,401
2020-04-03,462
2020-04-04,375
2020-04-05,408
2020-04-06,309
2020-04-07,379
2020-04-08,550
2020-04-09,483
2020-04-10,478
2020-04-11,411
2020-04-12,401
2020-04-13,421
2020-04-14,483
2020-04-15,494
2020-04-16,514
2020-04-17,564
2020-04-18,485
2020-04-19,568
2020-04-20,606
2020-04-21,551
2020-04-22,510
2020-04-23,634
2020-04-24,640
2020-04-25,476
2020-04-26,437
2020-04-27,424
2020-04-28,525
2020-04-29,347
2020-04-30,459
2020-05-01,421
2020-05-02,511
2020-05-03,434
2020-05-04,370
2020-05-05,387
2020-05-06,412
2020-05-07,399
2020-05-08,477
2020-05-09,346
2020-05-10,294
2020-05-11,308
2020-05-12,361
2020-05-13,329
2020-05-14,345
2020-05-15,341
2020-05-16,391
2020-05-17,340
2020-05-18,304
2020-05-19,427
2020-05-20,390
2020-05-21,413
2020-05-22,441
2020-05-23,412
2020-05-24,460
2020-05-25,404
2020-05-26,287
2020-05-27,292
2020-05-28,383
2020-05-29,344
2020-05-30,323
2020-05-31,326
2020-06-01,404
2020-06-02,446
2020-06-03,338
2020-06-04,356
2020-06-05,344
2020-06-06,455
2020-06-07,415
2020-06-08,243
2020-06-09,230
2020-06-10,251
2020-06-11,203
2020-06-12,182
2020-06-13,266
2020-06-14,197
2020-06-15,181
2020-06-16,184
2020-06-17,190
2020-06-18,173
2020-06-19,178
2020-06-20,206
2020-06-21,175
2020-06-22,161
2020-06-23,216
2020-06-24,163
2020-06-25,189
2020-06-26,111
2020-06-27,160
2020-06-28,178
2020-06-29,257
2020-06-30,157
2020-07-01,0
2020-07-02,302
2020-07-03,165
2020-07-04,121
2020-07-05,138
2020-07-06,154
2020-07-07,112
2020-07-08,118
2020-07-09,170
2020-07-10,116
2020-07-11,130
2020-07-12,129
2020-07-13,116
2020-07-14,111
2020-07-15,102
2020-07-16,111
2020-07-17,111
2020-07-18,166
2020-07-19,164
2020-07-20,135
2020-07-21,203
2020-07-22,165
2020-07-23,103
2020-07-24,195
2020-07-25,138
2020-07-26,137
2020-07-27,119
2020-07-28,111
2020-07-29,76
2020-07-30,89
2020-07-31,134
2020-08-01,124
2020-08-02,116
2020-08-03,0
2020-08-04,179
2020-08-05,86
2020-08-06,95
2020-08-07,88
2020-08-08,70
2020-08-09,79
2020-08-10,115
2020-08-11,33
2020-08-12,95
2020-08-13,78
2020-08-14,92
2020-08-15,106
2020-08-16,81
2020-08-17,99
2020-08-18,125
2020-08-19,102
2020-08-20,76
2020-08-21,131
2020-08-22,108
2020-08-23,115
2020-08-24,105
2020-08-25,100
2020-08-26,88
2020-08-27,118
2020-08-28,122
2020-08-29,148
2020-08-30,112
2020-08-31,114
2020-09-01,112
2020-09-02,133
2020-09-03,132
2020-09-04,148
2020-09-05,169
2020-09-06,158
2020-09-07,0
2020-09-08,375
2020-09-09,149
2020-09-10,170
2020-09-11,213
2020-09-12,232
2020-09-13,204
2020-09-14,313
2020-09-15,251
2020-09-16,315
2020-09-17,293
2020-09-18,401
2020-09-19,407
2020-09-20,365
2020-09-21,425
2020-09-22,478
2020-09-23,335
2020-09-24,409
2020-09-25,409
2020-09-26,435
2020-09-27,491
2020-09-28,700
2020-09-29,554
2020-09-30,625
2020-10-01,538
2020-10-02,732
2020-10-03,653
2020-10-04,566
2020-10-05,615
2020-10-06,548
2020-10-07,583
2020-10-08,797
2020-10-09,939
2020-10-10,809
2020-10-11,649
2020-10-12,0
2020-10-13,1553
2020-10-14,721
2020-10-15,783
2020-10-16,712
2020-10-17,805
2020-10-18,658
2020-10-19,704
2020-10-20,821
2020-10-21,790
2020-10-22,841
2020-10-23,826
2020-10-24,978
2020-10-25,1042
2020-10-26,851
