Date,Number of Confirmed Cases
2020-03-01,1
2020-03-03,0
2020-03-05,1
2020-03-06,0
2020-03-07,0
2020-03-08,1
2020-03-09,1
2020-03-11,3
2020-03-12,6
2020-03-13,4
2020-03-14,0
2020-03-15,7
2020-03-16,15
2020-03-17,11
2020-03-18,24
2020-03-19,47
2020-03-20,18
2020-03-21,82
2020-03-22,0
2020-03-23,407
2020-03-24,385
2020-03-25,326
2020-03-26,290
2020-03-27,392
2020-03-28,477
2020-03-29,342
2020-03-30,590
2020-03-31,732
2020-04-01,449
2020-04-02,907
2020-04-03,583
2020-04-04,896
2020-04-05,947
2020-04-06,636
2020-04-07,760
2020-04-08,691
2020-04-09,881
2020-04-10,765
2020-04-11,615
2020-04-12,554
2020-04-13,711
2020-04-14,691
2020-04-15,612
2020-04-16,997
2020-04-17,941
2020-04-18,723
2020-04-19,836
2020-04-20,962
2020-04-21,807
2020-04-22,839
2020-04-23,873
2020-04-24,778
2020-04-25,651
2020-04-26,840
2020-04-27,875
2020-04-28,775
2020-04-29,837
2020-04-30,944
2020-05-01,1110
2020-05-02,1008
2020-05-03,2209
2020-05-04,758
2020-05-05,794
2020-05-06,910
2020-05-07,911
2020-05-08,912
2020-05-09,836
2020-05-10,735
2020-05-11,748
2020-05-12,756
2020-05-13,706
2020-05-14,793
2020-05-15,696
2020-05-16,763
2020-05-17,737
2020-05-18,707
2020-05-19,570
2020-05-20,578
2020-05-21,720
2020-05-22,646
2020-05-23,697
2020-05-24,573
2020-05-25,573
2020-05-26,614
2020-05-27,541
2020-05-28,563
2020-05-29,530
2020-05-30,419
2020-05-31,408
2020-06-01,295
2020-06-02,239
2020-06-03,291
2020-06-04,259
2020-06-05,255
2020-06-06,226
2020-06-07,225
2020-06-08,198
2020-06-09,138
2020-06-10,156
2020-06-11,144
2020-06-12,181
2020-06-13,158
2020-06-14,128
2020-06-15,102
2020-06-16,92
2020-06-17,117
2020-06-18,120
2020-06-19,167
2020-06-20,124
2020-06-21,92
2020-06-22,69
2020-06-23,49
2020-06-24,53
2020-06-25,142
2020-06-26,0
2020-06-27,0
2020-06-28,0
2020-06-29,311
2020-06-30,68
2020-07-01,0
2020-07-02,135
2020-07-03,89
2020-07-04,102
2020-07-05,79
2020-07-06,74
2020-07-07,60
2020-07-08,82
2020-07-09,137
2020-07-10,100
2020-07-11,91
2020-07-12,114
2020-07-13,100
2020-07-14,109
2020-07-15,129
2020-07-16,142
2020-07-17,141
2020-07-18,158
2020-07-19,166
2020-07-20,150
2020-07-21,180
2020-07-22,142
2020-07-23,142
2020-07-24,163
2020-07-25,171
2020-07-26,169
2020-07-27,145
2020-07-28,169
2020-07-29,112
2020-07-30,122
2020-07-31,181
2020-08-01,146
2020-08-02,141
2020-08-03,123
2020-08-04,123
2020-08-05,155
2020-08-06,133
2020-08-07,108
2020-08-08,126
2020-08-09,104
2020-08-10,156
2020-08-11,91
2020-08-12,95
2020-08-13,104
2020-08-14,87
2020-08-15,80
2020-08-16,67
2020-08-17,55
2020-08-18,46
2020-08-19,64
2020-08-20,86
2020-08-21,93
2020-08-22,104
2020-08-23,74
2020-08-24,68
2020-08-25,62
2020-08-26,142
2020-08-27,81
2020-08-28,50
2020-08-29,156
2020-08-30,120
2020-08-31,140
2020-09-01,122
2020-09-02,132
2020-09-03,187
2020-09-04,184
2020-09-05,175
2020-09-06,205
2020-09-07,216
2020-09-08,163
2020-09-09,180
2020-09-10,188
2020-09-11,219
2020-09-12,244
2020-09-13,279
2020-09-14,276
2020-09-15,292
2020-09-16,303
2020-09-17,499
2020-09-18,297
2020-09-19,427
2020-09-20,462
2020-09-21,586
2020-09-22,489
2020-09-23,471
2020-09-24,582
2020-09-25,637
2020-09-26,698
2020-09-27,896
2020-09-28,750
2020-09-29,799
2020-09-30,838
2020-10-01,933
2020-10-02,1052
2020-10-03,1107
2020-10-04,1079
2020-10-05,1191
2020-10-06,1364
2020-10-07,900
2020-10-08,1078
2020-10-09,1102
2020-10-10,1097
2020-10-11,942
2020-10-12,843
2020-10-13,815
2020-10-14,1203
2020-10-15,969
2020-10-16,1055
2020-10-17,1279
2020-10-18,1094
2020-10-19,1038
2020-10-20,787
2020-10-21,1072
2020-10-22,1033
2020-10-23,905
2020-10-24,1009
2020-10-25,879
2020-10-26,808
2020-10-27,963
2020-10-28,929
2020-10-29,1030
2020-10-30,1108
2020-10-31,1064
2020-11-01,965
2020-11-02,1037
2020-11-03,871
2020-11-04,1029
2020-11-05,1138
2020-11-06,1133
2020-11-07,1234
2020-11-08,1397
2020-11-09,1169
2020-11-10,1162
2020-11-11,1378
2020-11-12,1365
2020-11-13,1301
2020-11-14,1448
2020-11-15,1211
2020-11-16,1218
2020-11-17,982
2020-11-18,1179
2020-11-19,1207
2020-11-20,1259
2020-11-21,1189
2020-11-22,1154
2020-11-23,1164
2020-11-24,1124
2020-11-25,1100
